Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	5147325.33	3002077	REGULAR	REGULAR	START	START	1	5147325.33	3002077	REGULAR	REGULAR	START	START	1
1	FALSE	3349266.00	1052027	REGULAR	REGULAR	START	START	1	3349266.00	1052027	REGULAR	REGULAR	START	START	1
1	FALSE	3332251.60	0028053	REGULAR	REGULAR	START	START	1	3332251.60	0028053	REGULAR	REGULAR	START	START	1
1	FALSE	3345804.80	2077003	REGULAR	REGULAR	START	START	1	3345804.80	2077003	REGULAR	REGULAR	START	START	1
1	FALSE	3073259.82	1014015	REGULAR	REGULAR	START	START	1	3073259.82	1014015	REGULAR	REGULAR	START	START	1
1	FALSE	4507621.14	3065065	REGULAR	REGULAR	START	START	1	4507621.14	3065065	REGULAR	REGULAR	START	START	1
1	FALSE	3338400.40	2040041	REGULAR	REGULAR	START	START	1	3338400.40	2040041	REGULAR	REGULAR	START	START	1
1	FALSE	3413780.40	0090091	REGULAR	REGULAR	START	START	1	3413780.40	0090091	REGULAR	REGULAR	START	START	1
1	FALSE	4757899.53	3034021	ELITE	ELITE	START	START	1	4757899.53	3034021	ELITE	ELITE	START	START	1
1	FALSE	3371400.00	1083071	REGULAR	REGULAR	START	START	1	3371400.00	1083071	REGULAR	REGULAR	START	START	1
1	FALSE	3324022.40	0009047	REGULAR	REGULAR	START	START	1	3324022.40	0009047	REGULAR	REGULAR	START	START	1
1	FALSE	4525412.57	2058097	REGULAR	REGULAR	START	START	1	4525412.57	2058097	REGULAR	REGULAR	START	START	1
1	FALSE	4527645.43	2020059	REGULAR	REGULAR	START	START	1	4527645.43	2020059	REGULAR	REGULAR	START	START	1
1	FALSE	3339962.80	0071009	REGULAR	REGULAR	START	START	1	3339962.80	0071009	REGULAR	REGULAR	START	START	1
1	FALSE	3334526.40	3096035	REGULAR	REGULAR	START	START	1	3334526.40	3096035	REGULAR	REGULAR	START	START	1
1	FALSE	4522152.29	1046085	REGULAR	REGULAR	START	START	1	4522152.29	1046085	REGULAR	REGULAR	START	START	1
1	FALSE	3350462.80	3086087	REGULAR	REGULAR	START	START	1	3350462.80	3086087	REGULAR	REGULAR	START	START	1
1	FALSE	3325877.20	1037037	REGULAR	REGULAR	START	START	1	3325877.20	1037037	REGULAR	REGULAR	START	START	1
1	FALSE	3336627.60	0062063	REGULAR	REGULAR	START	START	1	3336627.60	0062063	REGULAR	REGULAR	START	START	1
1	FALSE	3335304.00	2012013	REGULAR	REGULAR	START	START	1	3335304.00	2012013	REGULAR	REGULAR	START	START	1
1	FALSE	3394926.00	1099025	REGULAR	REGULAR	START	START	1	3394926.00	1099025	REGULAR	REGULAR	START	START	1
1	FALSE	4928496.73	3049075	ELITE	ELITE	START	START	1	4928496.73	3049075	ELITE	ELITE	START	START	1
1	FALSE	3333092.80	2074049	REGULAR	REGULAR	START	START	1	3333092.80	2074049	REGULAR	REGULAR	START	START	1
